悪衣悪食, あくいあくしょく, 衣服や食べ物が粗末であること
俵物三品, たわらものさんひん, 煎海鼠いりなまこ・干鮑ほしあわび・鱶鰭ふかひれの三種の海産物のこと
胆大心小, たんだいしんしょう, 大胆でいて、しかも繊細さも持ち合わせていること。 「胆大」は肝が太いこと
単刀直入, たんとうちょくにゅう, 遠回しな言い方をしないで、いきなり本題に入ること。 本来は、一本の刀を持ち、ただ一人で敵陣に切り込むことを意味した
端木辞金, たんぼくじきん, 納得のできない金銭は、絶対に受け取らないという潔癖な態度。 古代中国、春秋時代
大喝一声, だいかついっせい, 大きな一声で厳しく叱ること。 または、その声のこと
大死一番, だいしいちばん, 仏教用語。一度死んだつもりになって奮起すること
大慈大悲, だいじだいひ, 仏教用語。仏の広大無辺な慈悲のこと
大同小異, だいどうしょうい, 細かい点に違いがあるが、だいたいは同じこと。 「大同」はだいたい同じであること
大同団結, だいどうだんけつ, 複数の団体・政党などが、共通の目的に向かって小さな意見の相違を越えて協力すること
弾丸黒子, だんがんこくし, 非常に狭く小さい土地。猫の額ほどの土地
談言微中, だんげんびちゅう, 物事をはっきりと言わず、それとなく遠回しに人の急所や弱みを突く話しぶりのこと
男耕女織, だんこうじょしょく, 男性が畑を耕し、女性が機を織ること。 天から与えられた職分
男子禁制, だんしきんせい, 男性の立ち入りを禁止すること。 男性の存在が風紀や平穏を乱す場合などに指定される
竹林七賢, ちくりんしちけん, 古代中国、3世紀の魏の時代末期に、俗世を離れて竹林に集まった七人の賢者
知行合一, ちこうごういつ, 真に知ることは必ず実践を伴う。 知識と行動とは表裏一体であるという教え
治山治水, ちさんちすい, 山や川などの国土を改修して生活しやすいようにすること
知者不言, ちしゃふげん, 物事の道理をわきまえる真の知識者は、軽々しく多くを語らないという意味
知者楽水, ちしゃらくすい, 知恵のある賢い人は、流れる水のように知恵を働かせるため、水を好むであろう、という意味
置酒高会, ちしゅこうかい, 盛大な酒宴を催すこと。 「置酒」は酒宴を開くこと
知小謀大, ちしょうぼうだい, 見識が浅いにもかかわらず、大きなことを企てること。自分の力を考えず、むやみに大きな計画を立てること
知足安分, ちそくあんぶん, 贅沢をせず、自分の境遇に満足すること。 「足るを知り分に安んず」と訓読する
千原兄弟, ちはらきょうだい, ※この四字熟語は2018年4月1日、エイプリルフールのネタとして公開されました
地平天成, ちへいてんせい, 世の中が平和に統治されていること。 「地ち平たいらぎ天てん成なり」と訓読する
着眼大局, ちゃくがんたいきょく, 物事を全体的に大きく捉えること。また、広く物事を見て、その要点や本質を見抜くこと
昼想夜夢, ちゅうそうやむ, 昼に起きているときに思ったことが、夜になって寝ているときに夢に見ること
中肉中背, ちゅうにくちゅうぜい, 程よい体格で程よい身長であること。バランスのとれた平均的な体型
昼夜兼行, ちゅうやけんこう, 昼も夜も休まずに一日中仕事をすること。 または、一日に二日分の道のりを急ぎ進むこと
朝雲暮雨, ちょううんぼう, 男女が愛し合い結ばれること。 中国の戦国時代
重見天日, ちょうけんてんじつ, 悪い状況から抜け出し、再び良い状況に向かうこと。 「重ねて天日を見る」と訓読する
鳥語花香, ちょうごかこう, 鳥の鳴き声と花の香り。趣深い春の情景を表す
朝三暮四, ちょうさんぼし, 目先の違いに気を取られ、本質を見失うこと。うまい言葉で人を騙すこと
丁丁発止, ちょうちょうはっし, 刀などで激しく切り合う音を表す。転じて、激しく議論し合うことを意味する
頂天立地, ちょうてんりっち, 他人に頼らず、独り立ちしていること。独立の気概
朝有紅顔, ちょうゆうこうがん, 人生は無常で儚いものであること。 「朝に紅顔有りて夕べに白骨となる」を略した言葉
直情径行, ちょくじょうけいこう, 相手の思惑や周囲の事情などを気にしないで、自分の感情の赴くままに行動すること
直立不動, ちょくりつふどう, まっすぐに立って微動だにしないこと。 緊張して身動きしない姿勢
追根究底, ついこんきゅうてい, 物事の本質と真相を徹底的に追求、究明すること
九十九髪, つくもがみ, 老女の白髪のこと。 短く乱れた老女の髪が江浦草つくもという水草に似ていることが由来とされる
九十九折, つづらおり, 幾度も折れ曲がって続く坂道。九折きゅうせつ
提耳面命, ていじめんめい, 丁寧に教え諭すこと。 耳を引き寄せて言い聞かせ、面と向かって教え諭すという意味
鉄心石腸, てっしんせきちょう, 鉄や石のように堅固な精神。強い意志こと
鉄樹開花, てつじゅかいか, いつまで待っても見込みがないこと。 または常識を超えた奇跡が起きること
手前勝手, てまえがって, 自分の都合ばかり考えて行動すること。自分勝手
手練手管, てれんてくだ, 人を騙して思い通りに操る技術。 元は遊女が客を騙すために使った技術のことを指す
天下一枚, てんかいちまい, 世間一般に共通であること
天下一品, てんかいっぴん, 世の中に較べるものがないほど優れた品や人物
天下国家, てんかこっか, 天下と国家。特にその政治のこと
天下五剣, てんかごけん, 数ある日本刀の中でも最高傑作と呼ぶのにふさわしい5つの名刀の総称。 室町時代から安土桃山時代頃に造られたとされる
天下無敵, てんかむてき, この世に相手になるものが存在しないほどに強いこと。 「天下に敵無し」と訓読する
天資英明, てんしえいめい, 天性の優れた資質を備えていること。 「天資」は生まれながらに持っている資質
天姿国色, てんしこくしょく, 生まれながらの絶世の美女。 「天姿」は天から与えられた姿
天上天下, てんじょうてんげ, 天上の世界と地上の世界。宇宙全体
天地一指, てんちいっし, この世に存在するものは、すべて同一のものであり、天も地も一本の指と同じものであるという意味
天地玄黄, てんちげんこう, 天は黒色で、地は黄色であるということ。 書道の手本としても用いられる漢文の長詩『千字文』の初句
天地神明, てんちしんめい, 天地の神々。 「天地神明に誓って」の形で用いられることが多い
天地無用, てんちむよう, 運送用語で、損壊する恐れがある荷物などを「逆さまにするな」と注意を与える言葉
天長地久, てんちょうちきゅう, 天地が永久であるように、物事が変わることなくいつまでも続くこと。 「天てんは長ながく地は久ひさし」と訓読する
天馬行空, てんばこうくう, 思想、思考、文章、行動などが、何物にも束縛されることなく、自由自在で素晴らしい勢いがある様子
天変地異, てんぺんちい, 自然界に起こる異変のこと。台風、雷雨、地震、大雨、津波、洪水など
天魔外道, てんまげどう, 仏教の修行を妨げ、害を与えるもの
天理人欲, てんりじんよく, 自然の道理と人の欲望のこと。 中国哲学で、倫理思想を表す概念のひとつ
天理人情, てんりにんじょう, 自然の摂理と人の行うべき正しい道。 類義語：「天理人道てんりじんどう」
電光石火, でんこうせっか, 稲妻の閃光や、火打ち石が発する火花を意味する。 動作が非常に素早いことや、一瞬のごく短い時間の喩え
電光朝露, でんこうちょうろ, 稲妻の光や、朝のうちだけ葉に宿る露のこと。転じて、極めて短い時間の喩え
田夫野人, でんぷやじん, 田舎者。 教養や良識に欠ける人を蔑んで使う
冬夏青青, とうかせいせい, 常に変わらない固い信念のこと。 固い信念を、冬も夏も青々と葉が茂る常緑樹に喩えた言葉
当機立断, とうきりつだん, 機会を逃さずに、素早く決断すること。 「当機」は、機に臨むこと
冬月赤足, とうげつせきそく, 寒い冬に裸足でいること。貧しい暮らしの形容
刀耕火種, とうこうかしゅ, 焼畑農業のこと。 山林を伐採し、草木を焼き払って、そこに種を蒔く農法
東西南北, とうざいなんぼく, 東と西と南と北のこと。四方
湯池鉄城, とうちてつじょう, 極めて堅固な城の様子。 「湯池」は熱湯で満たした堀、「鉄城」は鉄の柵に囲まれた城を意味する
徳高望重, とくこうぼうじゅう, 人徳が高く、人望が厚いこと。 信頼に足る人物を賞賛する言葉
特筆大書, とくひつたいしょ, ある物事を特別に取り立てて、人目につくように強調して書くこと。 同義語：「大筆特書たいひつとくしょ」
斗南一人, となんのいちにん, この世で最も優れている人のこと
左見右見, とみこうみ, あっちを見たり、こっちを見たりすること。 また、周囲に注意を払い様子を窺うかがうこと
同工異曲, どうこういきょく, 見かけは違っているように見えて、中身はほとんど同じであること。 類義語：「異曲同工いきょくどうこう」
同姓同名, どうせいどうめい, 姓名が同じ読みで、かつ同じ表記であること
同文同軌, どうぶんどうき, 天下を統一すること。また、天下が統一されていることの形容
同名異人, どうめいいじん, 名前は同じで違う人であること
土階三等, どかいさんとう, 宮殿の入り口の階段が土でできていて、三段しかないという意味。 質素な建物の形容
読書三到, どくしょさんとう, 古代中国、宋の朱熹しゅきが唱えた、読書に大切な三つの心得
読書三余, どくしょさんよ, 読書をするのに好都合な三つの余暇。 一年のうちでは冬
読書亡羊, どくしょぼうよう, 他のことに気を取られて、肝心な仕事を疎かにすることの喩え
独立独歩, どくりつどっぽ, 他人に頼らず、自分の信ずる道を進むこと。 会社や組織などの所属していた集団から独立して自ら物事を行うこと
土左衛門, どざえもん, 水死体の俗称
内典外典, ないてんげてん, 仏教者の立場から見て、内典は仏教関係の書籍を指し、外典は仏教以外の一般の書籍を指す
内平外成, ないへいがいせい, 国内がよく治まっており、外交も特に問題がなく、とても平和な状態のこと
菜種梅雨, なたねづゆ, 菜の花の咲く三月下旬から四月にかけて連日降り続く小雨。「催花雨さいかう」という別名もある
名題看板, なだいかんばん, 歌舞伎劇場の表看板の一つで、上演狂言の題名を記したもの
南無三宝, なむさんぼう, 「三宝」とは仏教で尊ぶ三種の宝で、仏・法・僧のこと。 三宝に呼びかけて助けを求めること
難行苦行, なんぎょうくぎょう, 仏教用語で、様々な苦難に耐える修行。転じて、ひどく苦労をすること
南山不落, なんざんふらく, 永遠に崩れ落ちない城や要塞の喩え。 「南山」は中国の長安ちょうあんの南にある終南山を指す
南船北馬, なんせんほくば, 国中を忙しく飛び回って旅をすることの喩え
二河白道, にがびゃくどう, 仏教用語で、怒りの象徴である南の火の川と、貪欲の象徴である北の水の川の間にある、一筋の白い道のことを指す
肉食妻帯, にくじきさいたい, 仏教の修行者が肉を食べ、妻を娶ること
二者択一, にしゃたくいつ, 二つのうち、どちらか一つを選ぶこと。 「二者」は、二つの物事
二束三文, にそくさんもん, 数が多くても値段が非常に安いこと。 いくら売っても利益が出ないほどの安値で売ること
日常茶飯, にちじょうさはん, 毎日の食事のこと。 日々のありふれた出来事、特に取り上げるまでもない平凡な物事のこと
日暮道遠, にちぼどうえん, 日が暮れてしまったけれど、前途はまだまだ遠いという意味で、目的を達成していないのに年老いてしまったことや、期限が迫っ...
日居月諸, にっきょげっしょ, 月日が流れ去ること。 または君主と臣下、夫と妻、父と母などの喩え
日進月歩, にっしんげっぽ, 日に日に物事が絶えず進歩すること。進歩の度合いが急速であること
二人三脚, ににんさんきゃく, 二人が助けあって共同で物事を行うこと
入木三分, にゅうぼくさんぶ, 書道において、筆跡が非常に力強いこと。 議論や分析が深く鋭いことの喩え
女人禁制, にょにんきんせい, 修行の場、聖域、霊場などへの女性の立ち入りを禁止すること
二六時中, にろくじちゅう, いつも。一日中
人三化七, にんさんばけしち, 容姿が不細工なこと。 特に女性に対して蔑んで使う言葉
人相風体, にんそうふうてい, 人の顔つきや身なりのこと。 たいていは外見の印象が悪い場合に使う
盗人上戸, ぬすびとじょうご, 甘い物とお酒をどちらも好む人。両刀遣い
年功序列, ねんこうじょれつ, 勤続年数や年齢などを重視して、組織内での役職や賃金を決める人事制度
年頭月尾, ねんとうげつび, 年の始めと月の終わり。転じて、一年中を意味する
年百年中, ねんびゃくねんじゅう, 毎日毎日。一年中
破顔一笑, はがんいっしょう, 顔をぱっとほころばせて、にっこりと微笑むこと。 「破顔」は顔をほころばせること
破鏡重円, はきょうじゅうえん, 二つに割られた鏡が再び元の形に戻るという意味。 離婚した夫婦や離れ離れになった恋人同士が、また一緒になることの喩え
博学多才, はくがくたさい, 知識が豊かで、多くの才能に恵まれていること
博学能文, はくがくのうぶん, 豊富な知識を持ち、文章を作る才能に秀でていること
白眼青眼, はくがんせいがん, 「白眼はくがん」は嫌いなものを見る目つき。 「青眼せいがん」は好ましいものを見る目つき
白玉楼中, はくぎょくろうちゅう, 文人や書家が死ぬこと
白砂青松, はくしゃせいしょう, 美しい浜辺の景色。 白い砂浜と青々とした松林の続く海岸線の意味
白手起家, はくしゅきか, 裸一貫から起業して、一代で事業を成功させること。 華僑の言葉
白日昇天, はくじつしょうてん, 昼間に天に昇るという意味。 転じて、急に出世をすること、または急に多くの財産を得ることの喩え
白水真人, はくすいしんじん, 中国の貨幣の異称。 また、後漢王朝が急激に繁栄することを予言した言葉
白馬非馬, はくばひば, 詭弁
博文約礼, はくぶんやくれい, 広く書物を読んで見識を高め、学んだことを、世の規範に基づいて実行すること
八十八夜, はちじゅうはちや, 立春を起算日にして数えて88日目にあたる日のこと。大抵は五月二日になる
八大地獄, はちだいじごく, 仏教で説かれている八つの地獄
八功徳水, はっくどくすい, 仏教用語で、八種類の優れた性質を備えた聖なる水のこと
白黒分明, はっこくぶんめい, 善悪、是非、正邪などの区分がはっきりしていること。 別表記：「黒白分明こくびゃくぶんめい」
八方画策, はっぽうかくさく, 計画を実現するために多方面に働きかけること
八方美人, はっぽうびじん, 悪く思われないように、誰に対しても愛想よく振る舞うこと。 「どこから見ても欠点のない美人」という意味
発人深省, はつじんしんせい, 人を啓発して、気付いていないところを教えて、物事をより深く考えるようにさせること
鼻先思案, はなさきじあん, 目先のことに捉われた軽率な考えのこと。 単なる思いつき
反間苦肉, はんかんくにく, 敵同士の仲を裂き、敵を欺くこと。 「反間」は敵の中に潜り込んで混乱を起こすこと
半死半生, はんしはんしょう, 生死の境目にあること。ほとんど死にかかっている状態
反面教師, はんめんきょうし, 悪い見本として反省や戒めの材料となる物事。または、そのような人物
売剣買牛, ばいけんばいぎゅう, 剣を売って牛を買うという意味で、戦争をやめて農業に力を尽くすことをいう。 別表記：「買牛売剣ばいぎゅうばいけん」
馬鹿正直, ばかしょうじき, 嘘偽りを言わないが、度が過ぎてかえって融通がきかないこと。愚直であること
幕天席地, ばくてんせきち, 天を屋根の代わりにして、大地を座席の代わりにするという意味。 志気が高いことを表す
馬氏五常, ばしごじょう, 兄弟が皆揃って優秀なことを表す言葉。 三国志に描かれている故事が由来
馬耳東風, ばじとうふう, 人の言うことに耳をかさず聞き流すこと
万古長青, ばんこちょうせい, 永久に変わらないこと。良い関係がいつまでも続くこと
万古不易, ばんこふえき, 永久に変わらないこと
万死一生, ばんしいっしょう, 必死の覚悟を決めて物事に取り組むこと。 または、ほとんど死が避けがたい危険な瀬戸際で辛うじて助かること
万能一心, ばんのういっしん, 何事を行うにしても、心を集中して取り組みなさいという教え
万物一馬, ばんぶついちば, この世に存在するあらゆるものは、すべて同一のものであるということの喩え
万物流転, ばんぶつるてん, ヘラクレイトスによって提唱された哲学の概念。 ギリシャ語の「panta rhei（パンタレイ）」の訳語
万夫不当, ばんぷふとう, 多くの人が立ち向かっても敵わないほど強いこと。 「万夫」は多くの人々
万理一空, ばんりいっくう, 「世界のすべては同じ一つの空の下にある」と悟ること
万里一空, ばんりいっくう, 本来は「どこまで行っても世界は１つの空の下にある」という意味で、物事を冷静に捉える精神を表現していた
万里同風, ばんりどうふう, 遥かに遠い地の果てまでも同じ風が吹くという意味
万緑一紅, ばんりょくいっこう, たくさんのものの中に、一つだけすぐれたものがあることのたとえ
飛花落葉, ひからくよう, 春に咲いた花もやがては散り、青葉も秋には枯れ落ちるということ。 絶えず移り変わる世の中の儚いことの喩え
悲喜交交, ひきこもごも, 喜びと悲しみを代わる代わる味わうこと。または、喜びと悲しみが入り交じっていること
飛耳長目, ひじちょうもく, 物事に精通していることの形容。 遠くのことを見聞きすることができる耳と目の意味
百依百順, ひゃくいひゃくじゅん, 何から何まで人の言いなりになること。 別表記：「百順百依ひゃくじゅんひゃくい」
百姓昭明, ひゃくせいしょうめい, 多くの人々が徳を明らかにして、世の中が平和で和やかなこと
百戦百勝, ひゃくせんひゃくしょう, 戦うたびに勝つこと
百鍛千練, ひゃくたんせんれん, 推敲に推敲を重ねること。 詩や文章の字句を百回も千回も考え練ることを意味する
百代過客, ひゃくだいのかかく, 永遠に歩き続ける旅人のこと。 絶えること無く続く時間や年月を意味する
百日天下, ひゃくにちてんか, ナポレオン1世が1815年にエルバ島を脱してパリに入り、帝政を復活してから、ワーテルローの戦いで敗北し退位するに至っ...
百人一首, ひゃくにんいっしゅ, 百人の歌人の和歌を一首ずつ選び集めた歌集。 またはそれを「かるた」にしたもの
百人百様, ひゃくにんひゃくよう, 考え方や、やり方は人それぞれに異なるということ
百年河清, ひゃくねんかせい, いつまでたっても実現する見込みのないこと。 主に「百年河清ひゃくねんかせいを俟まつ」として使う
百味飲食, ひゃくみおんじき, 多くの珍味、美味よりなる料理の数々。 人の死後49日間、霊に供える様々な供物
百家争鳴, ひゃっかそうめい, 多くの学者や論客が思想や学術上の意見を自由に発表し論争し合うこと
百下百全, ひゃっかひゃくぜん, 百のうち一つも欠けることがないこと。万全
百鬼夜行, ひゃっきやこう, 罪人や悪人が好き勝手に振る舞い、悪事を働くこと。 夜になると多くの妖怪が連なって歩き回るという意味
百発百中, ひゃっぱつひゃくちゅう, 発射した弾丸や弓矢がすべて命中すること。 計画や予想などがすべて狙い通りになること
氷炭相愛, ひょうたんそうあい, 氷と炭という、全く関連性のない相反する性質のものが、その特性を活かして互いに助け合うこと
表裏一体, ひょうりいったい, 二つのものの関係が、表と裏のように密接で切り離せないこと
品行方正, ひんこうほうせい, 行いが正しく、きちんとしていること。 「品行」は、普段の行動や振る舞いのこと
美男美女, びなんびじょ, 容姿の美しい男性と女性
風雲月露, ふううんげつろ, 詩を作りたくなるような美しい自然の風景
風花雪月, ふうかせつげつ, 夏の風、春の花、冬の雪、秋の月を意味する。 自然の美しい風景や、そこから生じる情緒情趣を表す中国語
風月玄度, ふうげつげんたく, 長い間会っていない友人を想うこと
風言風語, ふうげんふうご, 根拠がない言葉。根も葉もない噂話
風林火山, ふうりんかざん, 甲斐の戦国大名「武田信玄たけだしんげん」の旗指物（軍旗）に記されたとされている、戦時における四つの行動の指針
不協和音, ふきょうわおん, 二つ以上の音が同時に出されたとき、全体が調和しないで不快な感じを与える和音
福徳円満, ふくとくえんまん, 幸福や財産に恵まれ、満足していること。 「福徳」は幸福と利益
福利厚生, ふくりこうせい, 主に、企業が従業員に対して支給する、給与以外の援助やサービスのことを指す
不言実行, ふげんじっこう, あれこれ理屈を言わず、黙って実際に行動すること
不言不語, ふげんふご, 何も言わずに黙っていること。 一般に「言わず語らず」と訓読の形で用いられることが多い
富国強兵, ふこくきょうへい, 国を豊かにし、軍隊を強くすること。 明治政府が経済の発展と軍事力の強化によって近代的な国家を目指すために掲げた目標
父子相伝, ふしそうでん, 武道、茶道、華道、または学問や芸能などの奥義を、父から子へと何代にも渡って伝えること
父子有親, ふしゆうしん, 父と子の間柄は、親愛の情で結ばれなくてはならないという教え。 孟子が主張した「五倫」の徳のひとつ
不知案内, ふちあんない, 知識や心得がないために、実情や様子が判断できないこと。 「不知」は、知らないこと、わからないこと
不買美田, ふばいびでん, 子孫が堕落する原因になるので、あえて財産を残さないこと。 「児孫のために美田を買わず」の略
不聞不問, ふぶんふもん, 何も聞かず、何も問わず、その物事に無関心なこと。無関心を装うこと
不立文字, ふりゅうもんじ, 禅宗の用語。 「不立文字、教外別伝、直指人心、見性成仏」という言葉の最初の語句
物心両面, ぶっしんりょうめん, 物質的な面と精神的な面の両方の側面のこと。 金銭や物品などの形に見えるものと、応援や激励など心に関係していること
仏足石歌, ぶっそくせきか, 古代和歌の歌体の一つ。 形式は五・七・五・七・七・七を定型とする
文従字順, ぶんじゅうじじゅん, 文章がの筋が通っていて、表現もよどみなく読みやすいこと。 「文従い字順う」と訓読する
文人相軽, ぶんじんそうけい, 文学者や文化人は自尊心が高く、他の文人を見下す傾向があるということ。 「文人ぶんじん相あい軽かろんず」と訓読する
文人墨客, ぶんじんぼっかく, 詩文や書画などの風流を嗜む人のこと。 「文人」は詩文などに親しむ人
文武百官, ぶんぶひゃっかん, 行政や司法などに携わる文官と、軍事を任務とする武官を合わせた多くの役人。全ての役人
文武両道, ぶんぶりょうどう, 文事と武事、学芸と武芸、その両道に努め、秀でていること
文明開化, ぶんめいかいか, 先進国の思想、文化、産業、制度などを積極的にとり入れて文明が進み、急速に近代化すること
閉戸先生, へいこせんせい, 年中、門を閉じて家にこもり、読書や学問に没頭している人
平身低頭, へいしんていとう, ひたすら恐縮すること。 腰が低い様子
変態百出, へんたいひゃくしゅつ, 姿や形を様々に変えて、外部の変化に対応していくこと。 「変態」はその形態などが変わること
変法自強, へんぽうじきょう, 法律や制度を変えて、国力を強くすることを意味する。 1898年に中国で起こった政治改革運動
豊衣足食, ほういそくしょく, 衣服も食物も、充分に満ち足りていること。 豊かな生活の喩え
豊年満作, ほうねんまんさく, 作物が豊かに実って収穫が多いこと。 「豊年」は穀物がよく実ること
報本反始, ほうほんはんし, 先祖の恩恵や功績に感謝し、それに報いるという意味。 「本もとに報い始めに反かえる」と訓読する
北窓三友, ほくそうさんゆう, 白居易はくきょいの詩が出典で、文人に必要とされる「酒」「琴」「詩」のこと
北斗七星, ほくとしちせい, 大熊座の一部を構成する七つの星のこと
本家本元, ほんけほんもと, 最も正しい系統や血筋の大本のこと。 分家に対して、その分かれ出たもとの家
望文生義, ぼうぶんせいぎ, 文字の字面を見ただけで意味を深く考えずに、前後の文章から予想して語句の意味を勝手に解釈すること
望聞問切, ぼうぶんもんせつ, 医師が診察するうえでの大事な四つの方法。 「望」は目で察すること
満城風雨, まんじょうふうう, 街全体が風雨に襲われること。 または事件などの噂が広まり、街中が騒然とすること
万両分限, まんりょうぶげん, 何万両もの財産を持っている富豪。大金持ち
三日天下, みっかてんか, 国や組織などで権力を握っている期間がきわめて短いこと
三日法度, みっかはっと, 短い期間しか守られない法律や規則のこと。また、効き目の薄い薬などのこと
三日坊主, みっかぼうず, あきっぽい性格で、何をしても長続きしないこと
密雲不雨, みつうんふう, 前兆があるのに、依然として物事が変わらないこと
妙手回春, みょうしゅかいしゅん, 手を触れるだけで病が治るような、敏腕の医師の喩え。 医師の力で病気が良くなること
名字帯刀, みょうじたいとう, 名字を名乗り、太刀を腰に差す武士の特権のこと。 後に、特に家柄や功労によって庶民に対してもこの特例が許された
名聞利養, みょうもんりよう, 仏教用語で、名声、地位、財産などを得たいと願う欲望のこと。 同義語：「名聞利益みょうもんりやく」
民族自決, みんぞくじけつ, 各民族集団が、自らの意志に基づいて政治組織や政治体制を決定し、他民族や他国家の干渉を認めないとする集団的権利
無芸大食, むげいたいしょく, これといった特技もないのに、食べることだけは人並み以上である人を嘲って使う言葉
無間奈落, むげんならく, 仏教の八大地獄のうちの一つ。無間地獄または阿鼻地獄とも呼ばれる
無信不立, むしんふりつ, 政治に必要なことは食料と軍備と信頼の三つで、その中でも最も重要な一つが信頼であるという孔子の教え
無中生有, むちゅうしょうゆう, 兵法三十六計の第七計。 偽装工作をわざと露見させ、相手が油断した所を攻撃する策略
無手勝流, むてかつりゅう, 戦わずに、策略によって相手に勝つこと。 または自分勝手なやり方
無二無三, むにむさん, ただ一つしかなく、それに代わるものがないこと。 もとは仏教用語で、仏になる道は一つだけで、ほかに道はないという意味
無念千万, むねんせんばん, 目的を果たすことができず、甚はなはだしく残念なこと。 「無念」は、悔しいこと
無法千万, むほうせんばん, 法律を無視して道徳から外れること。また非常に無礼であることや酷く乱暴なこと
無明長夜, むみょうじょうや, 仏教用語。 多くの人々が煩悩に迷い、悟りを得ることができない理由を、長く続く夜の闇に喩えた言葉
無明世界, むみょうせかい, 仏教用語で、煩悩に満ちた世界を意味する。 人間が生きているこの現世のこと
無理往生, むりおうじょう, 自分の意見を強引に相手に押し付けて承諾させること。 威圧して無理に従わせること
無理非道, むりひどう, 道理や人の道から外れていること。道理に合わないこと
無理無体, むりむたい, 相手の意思を無視して、強引に物事を行うこと。 「無理」は道理から外れていること
無量大数, むりょうたいすう, 日本を含む漢字文化圏の数の単位の一つ
名花十友, めいかじゅうゆう, 中国の宋の詩人「曾端伯」が、美しい十種の花を選んで、風格の異なる十人の友に擬人化して喩えたもの
明鏡止水, めいきょうしすい, 一切の邪念がなく静かに落ち着いている心の状態の喩え。 「明鏡」は、一点の曇りもない明るく綺麗な鏡のこと
名山勝川, めいざんしょうせん, 景色のよい山や川。景勝の地
名実一体, めいじついったい, 名目と実体とが一致していること。 「名実」は、名前と実質、名声と功績、評判と実際のこと
名声過実, めいせいかじつ, 実際の才能や技能などよりも評判のほうが高いこと。評判ほどではないこと
明明白白, めいめいはくはく, 疑う余地がなく、はっきりしていること。 明確に他と区別できているという意味の「明白」を重ねて強調した言葉
面従後言, めんじゅうこうげん, その人の面前では従うように見せかけて、陰では悪口を言うこと。 「面従」は、人の面前でだけ従うこと
面張牛皮, めんちょうぎゅうひ, 牛の皮を顔に張るという意味で、非常に厚かましいことの喩え。鉄面皮てつめんぴ
面壁九年, めんぺきくねん, 長年に渡って一心不乱に努力すること
面目一新, めんもくいっしん, 世間からの評価が急に良く変わること。 外見や内容を新しく変わること
面目全非, めんもくぜんひ, 顔の形が別のものに変わってしまうこと。また、物事の様子が一変すること
目指気使, もくしきし, 言葉を使わずに、目で合図したり顔色で示したりして、自分より目下の者を指図して酷使すること
目食耳視, もくしょくじし, 見た目に捉われて、味よりも外見が豪華な食事を選び、世間の評判を気にして衣服を選ぶこと
目前心後, もくぜんしんご, 舞の心得で、「目は前方を向いているが、心は自分の後ろにおけ」という意味
目迷五色, もくめいごしき, 鮮やかな色彩に目を奪われて、実態が見えないこと。 「目は五色に迷う」と訓読する
文字寸半, もじきなか, 僅かなお金。ほんの少しのもの
物見遊山, ものみゆさん, 見物して遊び歩くこと。気晴らしに外出すること
門外不出, もんがいふしゅつ, 貴重なものを大切にしまっておいて、外部への持出しを許さないこと
問牛知馬, もんぎゅうちば, 直接関係のない話から始めて、相手の隠している情報を巧みに誘導し聞き出すこと。誘導尋問
門戸開放, もんこかいほう, 港や市場を諸外国に開放して経済活動の制限を撤廃すること。 「Open Door Policy」の訳語
門前成市, もんぜんせいし, 門の前にたくさんの人が集まり市場のようになっているな状況。 名声や権力があって人の出入りの多いことの喩え
問答無用, もんどうむよう, あれこれ議論しても何の利益もないこと。または相手の意向を無視して物事を行うこと
薬石無効, やくせきむこう, あらゆる薬や治療を施しても効き目がないこと。 手を尽くした甲斐なく亡くなってしまうときに使われる
約法三章, やくほうさんしょう, 秦を滅ぼした漢の高祖「劉邦りゅうほう」が重法に苦しんでいた民衆に約束した、わずか三つの法律のこと
野心満満, やしんまんまん, 大きな望みや志を持ってること
夜郎自大, やろうじだい, 世間を知らないで、自分の力を過大に評価すること、または、自信過剰の世間知らずのこと
有言実行, ゆうげんじっこう, 言ったことは必ず実行するということ。 「不言実行」の対として作られた言葉
有終完美, ゆうしゅうかんび, 物事を最後まで立派にやり遂げること。 別表記：「有終之美ゆうしゅうのび」 「有終の美を飾る」という使い方が多い
右文左武, ゆうぶんさぶ, 文武の両道を兼ね備えること。また、文武の両道で天下を治めること
有名無実, ゆうめいむじつ, 名前だけ立派で実力が伴わないこと。 名目上存在するが、それに伴う実質のないこと
陽動作戦, ようどうさくせん, 敵の注意をそらすために別の方面でわざと目立った動きをする作戦。牽制作戦とも呼ばれる
四字熟語, よじじゅくご, 漢字四文字で構成される言葉
夜目遠目, よめとおめ, 「夜目遠目笠の内」を略した言葉
四目十目, よめとおめ, 夫婦縁組みで、男女の年齢を、一方から数えて4年目または10年目にあたるもの、すなわち三つ違いと九つ違いのものは縁起が...
四方山話, よもやまばなし, いろいろな話題の話。世間話
来来世世, らいらいせせ, はるか先の未来のこと。来世のまた次の来世
落地成根, らくちせいこん, 植物の種子が地に落ちて、やがて根を張り、花が咲き、葉が繁り、また落葉となって土に還ること
落花流水, らっかりゅうすい, 落ちた花が水に従って流れるという意味で、過ぎていく春の景色を表す
覧古考新, らんここうしん, 古い事柄から学び、新しい問題を考察すること。 「古ふるきを覧み、新あたらしきを考える」と訓読する
梨園弟子, りえんていし, 歌舞伎役者のこと。 または広く演劇の俳優や役者をさすこともある
六合同風, りくごうどうふう, 天下が統一され、世の中が平和に治まっていて、習慣や風俗を同じくすること
